StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q5,Q7,Q9,Q11,Q13,Q15,Q17,Q19,Random_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Random_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""Random_ID""}"
2020-02-10 21:39:26,2020-02-10 21:41:13,IP Address,113.193.51.182,100,106,True,2020-02-10 21:41:14,R_2rAQ36u65EnPA13,,,,,19.0747985839844,72.8856048583984,anonymous,EN,purple block,cube,black coffee mug,block ,screw driver,green cube,water bottle,block,yellow scissor,8247
2020-02-10 21:40:51,2020-02-10 21:43:25,IP Address,68.96.244.242,100,154,True,2020-02-10 21:43:26,R_2bUwzygL1wHBJRv,,,,,36.3224945068359,-115.29109954834,anonymous,EN,purple box,purple box,long purple box,long purple box,pink cup,smallest green box,smallest green box,long purple block,long purple block,5775
2020-02-10 21:39:43,2020-02-10 21:45:08,IP Address,76.100.197.204,100,325,True,2020-02-10 21:45:09,R_1qfgFp9LANakclp,,,,,39.3247985839844,-76.606201171875,anonymous,EN,square block,the purple square block,gray rectangular block,the blue rectangular block,the small brown cup,the small green square block,small green square block,erasure,the gray rectangular block,4221
2020-02-10 21:44:46,2020-02-10 21:45:40,IP Address,24.202.91.37,100,54,True,2020-02-10 21:45:41,R_3dYQdDrjurABXAp,,,,,45.3878936767578,-71.8988037109375,anonymous,EN,purple cube,purple cube,purple rectangle,purple block,pink mug,small green cube,green cube,purple rectangle,purple rectangle,3437
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10 21:50:25,2020-02-10 21:52:10,IP Address,73.48.80.170,100,105,True,2020-02-10 21:52:11,R_1NfF6z2HNvQ5aFt,,,,,30.4907989501953,-84.315803527832,anonymous,EN,purple cube,purple cube,rectangular block,rectangular block,pink mug,smallest green block,smallest green block,rectangular block,rectangular box,9052
